,DOBEC,OBEC,OKRES,PSC,DPOSTA,POSTA,KOD_OKR,KRAJ,LAT,LNG
0,Ábelová,Ábelová,Lučenec,985 13,Ábelová,Ábelová,606,BC,48.4108169,19.4317411
1,Abovce,Abovce,Rimavská Sobota,980 44,Lenartovce,Lenartovce,609,BC,48.3188277,20.3393511
2,Abrahám,Abrahám,Galanta,925 45,Abrahám,Abrahám,202,TA,48.25084649999999,17.6169626
3,Abrahámovce,Abrahámovce,Bardejov,086 41,Raslavice,Raslavice,701,PV,49.1614319,21.3434837
4,Abrahámovce,Abrahámovce,Kežmarok,059 72,Vrbov,Vrbov,703,PV,49.0445804,20.439083
5,Abramová,Abramová,Turčianske Teplice,038 22,Slovenské Pravno,Slovenské Pravno,509,ZI,48.9358713,18.7967004
6,Abranovce,Abranovce,Prešov,082 52,Kokošovce,Kokošovce,707,PV,48.93274359999999,21.3480108
7,Adamovské Kochanovce,Adamovské Kochanovce,Trenčín,913 05,Melčice-Lieskové,Melčice-Lieskové,309,TC,48.8525988,17.9275991
8,Adidovce,Adidovce,Humenné,067 32,Vyšný Hrušov,Vyšný Hrušov,702,PV,49.0156054,22.0366449
9,Albínov,Albínov,Trebišov,078 01,Sečovce,Sečovce,811,KI,48.73051539999999,21.6660916
10,Alekšince,Alekšince,Nitra,951 22,Alekšince,Alekšince,403,NI,48.3667063,17.9497477
11,Alexandrov Dvor,Alexandrov Dvor,Nitra,951 34,Báb,Báb,403,NI,48.2988615,17.8935869
12,Alžbetin Dvor,Alžbetin Dvor,Senec,900 42,Dunajská Lužná,Dunajská Lužná,108,BL,48.08614,17.314
13,Amadeho Kračany,Amadeho Kračany,Dunajská Streda,930 03,Kráľovičove Kračany,Kráľovičove Kračany,201,TA,47.9646205,17.5761973
14,Aňala,Aňala,Komárno,946 51,Nesvady,Nesvady,401,NI,47.9567041,18.1361961
15,Aňalské Záhrady,Aňalské Záhrady,Komárno,946 51,Nesvady,Nesvady,401,NI,47.94089,18.14854
16,Andač,Andač,Nitra,951 42,Zbehy,Zbehy,403,NI,48.37224399999999,17.9752177
17,Andice,Andice,Liptovský Mikuláš,031 01,Liptovský Mikuláš 1,Liptovský Mikuláš 1,505,ZI,49.07234,19.55233
18,Andovce,Andovce,Nové Zámky,941 23,Andovce,Andovce,404,NI,47.99395029999999,18.1067587
19,Andrejová,Andrejová,Bardejov,086 37,Šarišské Čierne,Šarišské Čierne,701,PV,49.3342318,21.3326199
20,Andrejovka,Andrejovka,Stará Ľubovňa,065 43,Orlov nad Popradom,Orlov nad Popradom,710,PV,49.28761,20.8990799
21,Arad,Arad,Nové Zámky,943 42,Gbelce,Gbelce,404,NI,47.87988,18.47014
22,Ardanovce,Ardanovce,Topoľčany,956 06,Šalgovce,Šalgovce,406,NI,48.5365851,17.9048894
23,Ardovo,Ardovo,Rožňava,049 55,Dlhá Ves,Dlhá Ves,808,KI,48.5328567,20.4189869
24,Arma,Arma,Levice,935 41,Tekovské Lužany,Tekovské Lužany,402,NI,48.06136,18.50034
25,Arnutovce,Arnutovce,Spišská Nová Ves,053 13,Letanovce,Letanovce,810,KI,48.9771863,20.4936844
26,Báb,Báb,Nitra,951 34,Báb,Báb,403,NI,48.3103344,17.8682559
27,Babie,Babie,Vranov nad Topľou,094 31,Hanušovce nad Topľou,Hanušovce nad Topľou,713,PV,49.06867880000001,21.4931684
28,Babín,Babín,Námestovo,029 52,Hruštín,Hruštín,507,ZI,49.3323414,19.3823568
29,Babin Potok,Babin Potok,Prešov,082 67,Terňa,Terňa,707,PV,49.1161316,21.2214772
30,Babiná,Babiná,Zvolen,962 61,Dobrá Niva,Dobrá Niva,611,BC,48.43477069999999,19.0904394
31,Babindol,Babindol,Nitra,951 53,Klasov,Klasov,403,NI,48.2883065,18.2367973
32,Babinec,Babinec,Rimavská Sobota,980 26,Lukovištia,Lukovištia,609,BC,48.5122939,20.0053065
33,Babiše,Babiše,Bytča,013 54,Kolárovice,Kolárovice,501,ZI,49.3340371,18.5058947
34,Babkov,Babkov,Žilina,013 11,Lietavská Lúčka,Lietavská Lúčka,511,ZI,49.1579896,18.6456646
35,Babulicov Vrch,Babulicov Vrch,Myjava,916 13,Kostolné,Kostolné,303,TC,48.7357302,17.65684
36,Bacúch,Bacúch,Brezno,976 64,Beňuš,Beňuš,603,BC,48.8592935,19.8059984
37,Bacúrov,Bacúrov,Zvolen,962 61,Dobrá Niva,Dobrá Niva,611,BC,48.52017130000001,19.0594703
38,Báč,Báč,Dunajská Streda,930 30,Rohovce,Rohovce,201,TA,48.0042236,17.3775921
39,Bačala,Bačala,Nitra,951 15,Mojmírovce,Mojmírovce,403,NI,48.1889,17.99383
40,Bačka,Bačka,Trebišov,076 84,Leles,Leles,811,KI,48.443715,22.0512507
41,Bačkov,Bačkov,Trebišov,076 61,Bačkov,Bačkov,811,KI,48.7391072,21.6253616
42,Bačkovík,Bačkovík,Košice-okolie,044 45,Bidovce,Bidovce,806,KI,48.78294469999999,21.4309867
43,Báčovce,Báčovce,Krupina,962 68,Hontianske Tesáre,Hontianske Tesáre,605,BC,48.2370326,18.9161248
44,Baďan,Baďan,Banská Štiavnica,969 01,Banská Štiavnica 1,Banská Štiavnica 1,602,BC,48.33164679999999,18.8406838
45,Bádice,Bádice,Nitra,951 46,Podhorany pri Nitre,Podhorany pri Nitre,403,NI,48.3967866,18.1305371
46,Badín,Badín,Banská Bystrica,976 32,Badín,Badín,601,BC,48.6660255,19.1212809
47,Báhoň,Báhoň,Pezinok,900 84,Báhoň,Báhoň,107,BL,48.3082085,17.4447469
48,Bajany,Bajany,Michalovce,072 54,Lekárovce,Lekárovce,807,KI,48.6034714,22.1093992
49,Bajč,Bajč,Komárno,946 54,Bajč,Bajč,401,NI,47.9245226,18.2073763
50,Bajerov,Bajerov,Prešov,082 41,Bajerov,Bajerov,707,PV,48.953299,21.115819
51,Bajerovce,Bajerovce,Sabinov,082 73,Šarišské Dravce,Šarišské Dravce,708,PV,49.2110676,20.7939207
52,Bajka,Bajka,Levice,935 51,Tekovský Hrádok,Tekovský Hrádok,402,NI,48.1510003,18.5186461
53,Bajtava,Bajtava,Nové Zámky,943 65,Kamenica nad Hronom,Kamenica nad Hronom,404,NI,47.8552879,18.7499875
54,Baka,Baka,Dunajská Streda,930 04,Baka,Baka,201,TA,47.90794959999999,17.5206654
55,Bakta,Bakta,Rimavská Sobota,979 01,Rimavská Sobota 1,Rimavská Sobota 1,609,BC,48.3913573,20.0923488
56,Baláže,Baláže,Banská Bystrica,976 11,Selce pri Banskej Bystrici,Selce pri B.Bystrici,601,BC,48.8137294,19.1955365
57,Baldovce,Baldovce,Levoča,053 04,Spišské Podhradie,Spišské Podhradie,704,PV,48.9928915,20.7143092
58,Balog nad Ipľom,Balog nad Ipľom,Veľký Krtíš,991 11,Balog nad Ipľom,Balog nad Ipľom,610,BC,48.07709570000001,19.1299013
59,Baloň,Baloň,Dunajská Streda,930 08,Čiližská Radvaň,Čiližská Radvaň,201,TA,47.8258835,17.6742312
60,Balvany,Balvany,Komárno,946 01,Kameničná pri Komárne,Kameničná pri Komár.,401,NI,47.830489,18.020693
61,Baňa,Baňa,Stropkov,091 01,Stropkov,Stropkov,711,PV,49.2165691,21.6059077
62,Baňa Lucia,Baňa Lucia,Košice-okolie,044 25,Medzev,Medzev,806,KI,48.72448,20.9259399
63,Banka,Banka,Piešťany,921 01,Piešťany 1,Piešťany 1,204,TA,48.5843408,17.8527523
64,Banky,Banky,Banská Štiavnica,969 01,Banská Štiavnica 1,Banská Štiavnica 1,602,BC,48.4831177,18.8603208
65,Banky,Banky,Prievidza,972 25,Diviaky nad Nitricou,Diviaky nad Nitricou,307,TC,48.7788334,18.496256
66,Bánov,Bánov,Nové Zámky,941 01,Bánov pri Nových Zámkoch,Bánov pri N.Zámkoch,404,NI,48.0489174,18.1907445
67,Bánová,Bánová,Žilina,010 04,Žilina 4,Žilina 4,511,ZI,49.20165,18.72174
68,Bánovce nad Bebravou,Bánovce nad Bebravou,Bánovce nad Bebravou,,,Pozri zoz.ulíc s PSČ,301,TC,48.71884439999999,18.2603402
69,Bánovce nad Ondavou,Bánovce nad Ondavou,Michalovce,072 04,Trhovište,Trhovište,807,KI,48.685595,21.8121711
70,Banská,Banská,Prievidza,972 48,Horná Ves,Horná Ves,307,TC,48.56545999999999,18.52562
71,Banská Belá,Banská Belá,Banská Štiavnica,966 15,Banská Belá,Banská Belá,602,BC,48.4753584,18.9333675
72,Banská Bystrica,Banská Bystrica,Banská Bystrica,,,Pozri zoz.ulíc s PSČ,601,BC,48.736277,19.1461917
73,Banská Hodruša,Banská Hodruša,Žarnovica,966 63,Hodruša - Hámre 1,Hodruša - Hámre 1,612,BC,48.4528238,18.8021735
74,Banská Štiavnica,Banská Štiavnica,Banská Štiavnica,969 01,Banská Štiavnica 1,Banská Štiavnica 1,602,BC,48.44957600000001,18.9086908
75,Banské,Banské,Vranov nad Topľou,094 12,Vechec,Vechec,713,PV,48.8288471,21.5749804
76,Banský Studenec,Banský Studenec,Banská Štiavnica,969 01,Banská Štiavnica 1,Banská Štiavnica 1,602,BC,48.4463377,18.9707691
77,Bara,Bara,Trebišov,076 32,Borša,Borša,811,KI,48.4281811,21.7163705
78,Barca,Barca,Rimavská Sobota,982 51,Figa,Figa,609,BC,48.3730187,20.2298393
79,Bardejov,Bardejov,Bardejov,085 01,Bardejov 1,Bardejov 1,701,PV,49.2946129,21.2754096
80,Bardejovská Nová Ves,Bardejovská Nová Ves,Bardejov,085 01,Bardejov 1,Bardejov 1,701,PV,49.3017677,21.3168327
81,Bardejovská Zábava,Bardejovská Zábava,Bardejov,085 01,Bardejov 1,Bardejov 1,701,PV,49.2599881,21.2510123
